Culture Name,OldName,Genus,Ecotype,Clade,Location,Cruise Name,Depth,Isolator,Isolation Method,Notes,Latitude,Longitude,Cruise ID,Taxa,Date Isolated,LonghurstCode,LonghurstProvince,Biome,yearsInAge,depthRange
MIT0703,703,Prochlorococcus,Low Light,LLIV,South Atlantic,"CoFeMUG cruise KN192-05, station 13",150,L.R. Moore,Filtered (dilution to extinction),"Seawater filtered through 1um filter with no amendments and kept in the dark for 21 days. Then 10^5 cells/mL were diluted using the High Throughput culture method (Stingl et al, 2007) into PRO3V media with 100uM NH4Cl, 10uM NaH2PO4, PRO2 trace metals and f/2 vitamins (0.1ug/lcyanocobalamin, 20 g/l thiamin and 1 ug/l biotin).",-13.45,-0.04,NA,Pro,2007/12/01,SATL,Trades - South Atlantic Gyral Province (SATG),Trades,11.49863014,100-150m
MIT0704,B5,Prochlorococcus,Low Light,LLIV,South Atlantic,"CoFeMUG cruise KN192-05, station 13",150,L.R. Moore,Filtered (dilution to extinction),"Seawater filtered through 1um filter with no amendments and kept in the dark for 21 days. Then 10^5 cells/mL were diluted using the High Throughput culture method (Stingl et al, 2007) into PRO3V media with 100uM NH4Cl, 10uM NaH2PO4, PRO2 trace metals and f/2 vitamins (0.1ug/lcyanocobalamin, 20 g/l thiamin and 1 ug/l biotin).",-13.45,-0.04,NA,Pro,2007/12/01,SATL,Trades - South Atlantic Gyral Province (SATG),Trades,11.49863014,100-150m
MIT0707,B7,Prochlorococcus,Low Light,LLIV,South Atlantic,"CoFeMUG cruise KN192-05, station 13",150,L.R. Moore,Filtered (dilution to extinction),"Seawater filtered through 1um filter with no amendments and kept in the dark for 21 days. Then 10^5 cells/mL were diluted using the High Throughput culture method (Stingl et al, 2007) into PRO3V media with 100uM NH4Cl, 10uM NaH2PO4, PRO2 trace metals and f/2 vitamins (0.1ug/lcyanocobalamin, 20 g/l thiamin and 1 ug/l biotin).",-13.45,-0.04,NA,Pro,2007/12/01,SATL,Trades - South Atlantic Gyral Province (SATG),Trades,11.49863014,100-150m
MIT0714,C4,Prochlorococcus,Low Light,LLIV,South Atlantic,"CoFeMUG cruise KN192-05, station 13",150,L.R. Moore,Filtered (dilution to extinction),"Seawater filtered through 1um filter with no amendments and kept in the dark for 21 days. Then 10^5 cells/mL were diluted using the High Throughput culture method (Stingl et al, 2007) into PRO3V media with 100uM NH4Cl, 10uM NaH2PO4, PRO2 trace metals and f/2 vitamins (0.1ug/lcyanocobalamin, 20 g/l thiamin and 1 ug/l biotin).",-13.45,-0.04,NA,Pro,2007/12/01,SATL,Trades - South Atlantic Gyral Province (SATG),Trades,11.49863014,100-150m
MIT0718,C8,Prochlorococcus,Low Light,LLIV,South Atlantic,"CoFeMUG cruise KN192-05, station 13",150,L.R. Moore,Filtered (dilution to extinction),"Seawater filtered through 1um filter with no amendments and kept in the dark for 21 days. Then 10^5 cells/mL were diluted using the High Throughput culture method (Stingl et al, 2007) into PRO3V media with 100uM NH4Cl, 10uM NaH2PO4, PRO2 trace metals and f/2 vitamins (0.1ug/lcyanocobalamin, 20 g/l thiamin and 1 ug/l biotin).",-13.45,-0.04,NA,Pro,2007/12/01,SATL,Trades - South Atlantic Gyral Province (SATG),Trades,11.49863014,100-150m
MIT1201,1201,Prochlorococcus,Low Light,LLIV,Station ALOHA/North Pacific,HOE-DYLAN,124,"P.M. Berube, J. Becker",Raw seawater,"Raw seawater amended with 16uM NH4, 1uM PO4, and 10% Pro99 trace metal mix",22.75,-158,NA,Pro,2012/09/01,NPTG,Trades - N. PacificTropical Gyre Province,Trades,6.747945205,100-150m
MIT1205,1205,Prochlorococcus,Low Light,LLIV,Station ALOHA/North Pacific,HOE-DYLAN,175,"P.M. Berube, J. Becker",Raw seawater,"Raw seawater amended with 16uM NH4, 1uM PO4, and 10% Pro99 trace metal mix",22.75,-158,NA,Pro,2012/09/01,NPTG,Trades - N. PacificTropical Gyre Province,Trades,6.747945205,150-200m
MIT1214,1214,Prochlorococcus,Low Light,LLI,Station ALOHA/North Pacific,HOE-DYLAN,175,"P.M. Berube, J. Becker",Raw seawater,"Raw seawater amended with 16uM NH4, 1uM PO4, and 10% Pro99 trace metal mix",22.75,-158,NA,Pro,2012/09/01,NPTG,Trades - N. PacificTropical Gyre Province,Trades,6.747945205,150-200m
MIT1227,1227,Prochlorococcus,Low Light,LLIV,Station ALOHA/North Pacific,HOE-DYLAN,124,"P.M. Berube, J. Becker",Filtered,"CellTrap (MemTeq) followed by 1.2um filtration into 32uM NH4, 2uM PO4, and 10% Pro99 trace metal mix",22.75,-158,NA,Pro,2012/09/01,NPTG,Trades - N. PacificTropical Gyre Province,Trades,6.747945205,100-150m
MIT1300,1300,Prochlorococcus,Low Light,LLVII,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"1.0 µm gravity filtered; Amended with 15 µM NaNO2 (nitrite), 1 µM NaH2PO4·H2O , 1X Pro2/Pro99 trace metal mix; Initially maintained at low light (~1 µmol quanta m-2s-1 PAR), transitioned to higher light (~10 µmol quanta m-2s-1 PAR) after 1 year",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
